cell_type	count
0	6766
1	5687
2	4502
3	3779
4	3358
5	3105
6	2870
7	2516
8	2361
9	2176
10	1934
11	1743
12	1272
13	974
14	715
15	640
16	491
17	427
18	361
19	289
20	214
21	94
22	79
23	71
24	29
