cell_type	count
Astrocytes	11866
Oligodendrocytes	4435
Endothelial	3215
GABA	2654
Microglia	2513
Ependymal	2461
Neurons_mixed	2085
Pericytes	1432
Glut	1427
AVP	943
OPC	765
Tanycytes	649
Vascular	401
Mixed_Endothelial	351
Macrophages	229
Meningeal	131
COP	115
