cell_type	count
Micro_1	4264
Macro_2	3759
Micro_2	3752
CAM_1	3121
Granulo_1	2104
CAM_2	1932
Tc	1791
Micro_3	1562
Granulo_2	1252
ILC2	1166
mDC1	1102
SAMC	1033
Bc	1003
mDC2	966
NK	818
stress_Micro	724
gdTc	657
prolif_cells	249
Macro_1	192
Mast	190
stress_Myeloid	172
