cell_type	count
L2-4	5937
SST	1798
L5/6	1733
Gad2+ Progen	1487
IP	1295
SPN	1108
NSC	792
LGE	677
VIP	614
Radial Glia	593
Astrocyte	422
OPC	308
Cajal	91
SMC	81
Microglia	41
Ependymal	28
Endothelial	27
