cell_type	count
PCTS1	14984
PCTS2	11001
endothelial	10224
LOH	8815
PST	7914
proximal_tubule	7181
fibroblasts	6551
DCT	4110
CDPC	3565
DLH	2445
macrophages	1633
CDIC_typeA	1088
CDIC_typeB	1034
podocytes	871
pericytes	479
B_cells	332
smooth_muscle_cells	89
