cell_type	count
cap venous	15361
Microglia	7934
Macrophages	4087
cap arterial	3724
interferon	2502
Astrocytes	2366
Endothelial Cells	2246
arterial	2176
Oligodendrocytes	1909
T Cells	1871
venous	1237
Choroid Plexus Cells	917
DCs.1	469
Ependymal Cells	373
B Cells	350
Neuroblasts	328
DCs.2	251
Fibroblasts	236
Neutrophils	217
Pericytes	217
Unknown	109
Neurons	104
pDCs	103
