cell_type	count
Exc. neuron	38048
Olig2	9313
Olig1	9180
Astro1	6269
Astro2	5866
Interneuron	4467
Microglia	4167
OPC	2307
Endothelial	1649
Pericyte	937
Leptomeningeal	304
